"","x"
"1273",3.91
"1274",3.92
"1275",3.78
"1276",3.78
"1277",3.79
"1278",3.79
"1279",3.79
"1280",3.78
"1281",3.78
"1282",3.78
"1283",3.77
"1284",3.54
"1285",3.55
"1286",3.55
"1287",3.49
"1288",3.49
"1289",3.52
"1290",3.49
"1291",3.39
"1292",3.39
"1293",3.29
"1294",3.29
"1295",4.23
"1296",4.22
"1297",4.22
"1298",4.21
"1299",4.23
"1300",4.4
"1301",4.4
"1302",4.08
"1303",4.06
"1304",3.82
"1305",3.83
"1306",3.8
"1307",3.8
"1308",3.95
"1309",3.89
"1310",3.94
"1311",3.97
"1312",3.98
"1313",3.89
"1314",3.92
"1315",4.38
"1316",6.63
"1317",7.22
"1318",7.19
"1319",7.21
"1320",13.75
"1321",8.61
"1322",8.15
"1323",8.15
"1324",8.16
"1325",8.17
"1326",8.18
"1327",8.45
"1328",8.17
"1329",8.51
"1330",8.49
"1331",8.48
"1332",8.15
"1333",8.32
"1334",8.3
"1335",8.6
"1336",8.62
"1337",8.62
"1338",9.95
"1339",9.97
"1340",9.97
"1341",9.97
"1342",9.97
"1343",10
"1344",10.01
"1345",10.02
"1346",9.56
"1347",9.58
"1348",9.31
"1349",9.31
"1350",9.31
"1351",6.09
"1352",6.12
"1353",6.02
"1354",7.41
"1355",7.38
"1356",7.33
"1357",7.33
"1358",7.96
"1359",7.96
"1360",8.78
"1361",8.79
"1362",8.8
"1363",7.15
"1364",7.09
"1365",7.08
"1366",7.07
"1367",6.17
"1368",6.17
"1369",9.98
"1370",9.95
"1371",9.93
"1372",9.9
"1373",9.88
"1374",9.88
"1375",10.06
"1376",10.06
"1377",10.18
"1378",10.17
"1379",10.27
"1380",10.1
"1381",10.12
"1382",10.14
"1383",10.14
"1384",8.72
"1385",8.72
"1386",7.67
"1387",7.67
"1388",7.67
"1389",7.28
"1390",7.29
"1391",7.29
"1392",5.76
"1393",5.59
"1394",5.52
"1395",5.51
"1396",7.35
"1397",7.37
"1398",7.29
"1399",7.32
"1400",7.32
"1401",7.26
"1402",7.34
"1403",7.34
"1404",7.36
"1405",7.26
"1406",7.5
"1407",7.5
"1408",7.37
"1409",7.14
"1410",7.18
"1411",7.09
"1412",4.66
"1413",5.66
"1414",5.66
"1415",4.95
"1416",4.95
"1417",7.44
"1418",5.03
"1419",5.03
"1420",4.9
"1421",4.91
"1422",4.91
"1423",4.93
"1424",4.93
"1425",4.98
"1426",4.98
"1427",4.81
"1428",4.81
"1429",4.81
"1430",4.81
"1431",4.81
"1432",4.76
"1433",4.84
"1434",4.84
"1435",4.84
"1436",4.76
"1437",4.75
"1438",4.93
"1439",5.12
"1440",5.24
"1441",5.39
"1442",5.72
"1443",5.73
"1444",5.73
"1445",4.33
"1446",4.34
"1447",4.55
"1448",4.6
"1449",4.58
"1450",4.59
"1451",5.94
"1452",6.16
"1453",5.9
"1454",5.84
"1455",6.01
"1456",6.01
"1457",6.21
"1458",5.53
"1459",5.48
"1460",5.48
"1461",5.34
"1462",6.31
"1463",6.27
"1464",6.27
"1465",6.11
"1466",6.1
"1467",5.97
"1468",5.97
"1469",5.83
"1470",5.83
"1471",5.68
"1472",5.68
"1473",5.68
"1474",6.07
"1475",6.04
"1476",6.04
"1477",5.89
"1478",5.89
"1479",6.1
"1480",5.79
"1481",5.81
"1482",9
"1483",8.91
"1484",8.91
"1485",9
"1486",9
"1487",9.53
"1488",9.51
"1489",9.51
"1490",9.5
"1491",9.49
"1492",8.79
"1493",8.75
"1494",8.75
"1495",8.52
"1496",7.66
"1497",7.61
"1498",7.6
"1499",7.6
"1500",8.3
"1501",8.78
"1502",8.78
"1503",9.12
"1504",9.12
"1505",7.49
"1506",7.55
"1507",7.54
"1508",7.56
"1509",7.63
"1510",7.64
"1511",7.19
"1512",7.19
"1513",7.29
"1514",7.07
"1515",5.29
"1516",5.28
"1517",5.28
"1518",5.01
"1519",4.99
"1520",4.65
"1521",3.87
"1522",3.86
"1523",3.86
"1524",3.84
"1525",3.84
"1526",3.42
"1527",3.36
"1528",5.25
"1529",5.26
"1530",5.4
"1531",5.4
"1532",5.28
"1533",5.24
"1534",5.99
"1535",5.98
"1536",5.98
"1537",5.98
"1538",5.98
"1539",5.93
"1540",5.95
"1541",6.65
"1542",6.65
"1543",6.66
"1544",6.98
"1545",7.03
"1546",6.95
"1547",6.77
"1548",7.11
"1549",7.08
"1550",7.01
"1551",7.15
"1552",5.31
"1553",5.34
"1554",5.31
"1555",5.31
"1556",5.31
"1557",5.16
"1558",5.08
"1559",4.82
"1560",4.91
"1561",4.81
"1562",4.81
"1563",4.94
"1564",4.93
"1565",4.94
"1566",4.81
"1567",4.81
"1568",4.59
"1569",4.56
"1570",4.42
"1571",4.42
"1572",4.4
"1573",4.66
"1574",4.65
"1575",4.41
"1576",4.44
"1577",4.44
"1578",4.44
"1579",4.46
"1580",4.52
"1581",4.52
"1582",4.52
"1583",4.75
"1584",4.73
"1585",4.76
"1586",5.07
"1587",5
"1588",4.88
"1589",4.88
"1590",4.86
"1591",5.09
"1592",5.23
"1593",5.23
"1594",5.8
"1595",5.8
"1596",5.82
"1597",5.58
"1598",5.58
"1599",5.6
"1600",5.6
"1601",6.88
"1602",6.88
"1603",6.88
"1604",6.88
"1605",7.41
"1606",7.41
"1607",7.39
"1608",7.39
"1609",7.3
"1610",7.3
"1611",7.29
"1612",7.29
